GEOIDFQ,GEOID,SUMLEVEL,GEOTYPE,NAME,SOURCE,STATEFP,COUNTYFP,COUSUBFP,PLACEFP,TRACTCE,CLASSFP,MUNITYPE,PLACECOMBO
0500000US39041,39041,050,COUNTY,Delaware,CENSUS,39,041,,,,H1,,
0500000US39045,39045,050,COUNTY,Fairfield,CENSUS,39,045,,,,H1,,
0500000US39047,39047,050,COUNTY,Fayette,CENSUS,39,047,,,,H1,,
0500000US39049,39049,050,COUNTY,Franklin,CENSUS,39,049,,,,H1,,
0500000US39073,39073,050,COUNTY,Hocking,CENSUS,39,073,,,,H1,,
0500000US39083,39083,050,COUNTY,Knox,CENSUS,39,083,,,,H1,,
0500000US39089,39089,050,COUNTY,Licking,CENSUS,39,089,,,,H1,,
0500000US39091,39091,050,COUNTY,Logan,CENSUS,39,091,,,,H1,,
0500000US39097,39097,050,COUNTY,Madison,CENSUS,39,097,,,,H1,,
0500000US39101,39101,050,COUNTY,Marion,CENSUS,39,101,,,,H1,,
0500000US39117,39117,050,COUNTY,Morrow,CENSUS,39,117,,,,H1,,
0500000US39127,39127,050,COUNTY,Perry,CENSUS,39,127,,,,H1,,
0500000US39129,39129,050,COUNTY,Pickaway,CENSUS,39,129,,,,H1,,
0500000US39141,39141,050,COUNTY,Ross,CENSUS,39,141,,,,H1,,
0500000US39159,39159,050,COUNTY,Union,CENSUS,39,159,,,,H1,,
0600000US3904102582,3904102582,060,COUNTY-COUSUB,Ashley,CENSUS,39,041,02582,,,C2,,
0600000US3904105774,3904105774,060,COUNTY-COUSUB,Berkshire,CENSUS,39,041,05774,,,T1,,
0600000US3904105788,3904105788,060,COUNTY-COUSUB,Berlin,CENSUS,39,041,05788,,,T1,,
0600000US3904109428,3904109428,060,COUNTY-COUSUB,Brown,CENSUS,39,041,09428,,,T1,,
0600000US3904118010,3904118010,060,COUNTY-COUSUB,Columbus City,CENSUS,39,041,18010,,,Z1,,
0600000US3904118140,3904118140,060,COUNTY-COUSUB,Concord,CENSUS,39,041,18140,,,T1,,
0600000US3904121448,3904121448,060,COUNTY-COUSUB,Delaware,CENSUS,39,041,21448,,,T1,,
0600000US3904121469,3904121469,060,COUNTY-COUSUB,Delaware City,CENSUS,39,041,21469,,,Z1,,
0600000US3904129694,3904129694,060,COUNTY-COUSUB,Genoa,CENSUS,39,041,29694,,,T1,,
0600000US3904133516,3904133516,060,COUNTY-COUSUB,Harlem,CENSUS,39,041,33516,,,T1,,
0600000US3904140362,3904140362,060,COUNTY-COUSUB,Kingston,CENSUS,39,041,40362,,,T1,,
0600000US3904143106,3904143106,060,COUNTY-COUSUB,Liberty,CENSUS,39,041,43106,,,T1,,
0600000US3904147908,3904147908,060,COUNTY-COUSUB,Marlboro,CENSUS,39,041,47908,,,T1,,
0600000US3904158618,3904158618,060,COUNTY-COUSUB,Orange,CENSUS,39,041,58618,,,T1,,
0600000US3904159262,3904159262,060,COUNTY-COUSUB,Oxford,CENSUS,39,041,59262,,,T1,,
0600000US3904164178,3904164178,060,COUNTY-COUSUB,Porter,CENSUS,39,041,64178,,,T1,,
0600000US3904165312,3904165312,060,COUNTY-COUSUB,Radnor,CENSUS,39,041,65312,,,T1,,
0600000US3904170842,3904170842,060,COUNTY-COUSUB,Scioto,CENSUS,39,041,70842,,,T1,,
0600000US3904171976,3904171976,060,COUNTY-COUSUB,Shawnee Hills,CENSUS,39,041,71976,,,C2,,
0600000US3904175620,3904175620,060,COUNTY-COUSUB,Sunbury Village,CENSUS,39,041,75620,,,Z1,,
0600000US3904176617,3904176617,060,COUNTY-COUSUB,Thompson,CENSUS,39,041,76617,,,T1,,
0600000US3904177336,3904177336,060,COUNTY-COUSUB,Trenton,CENSUS,39,041,77336,,,T1,,
0600000US3904177560,3904177560,060,COUNTY-COUSUB,Troy,CENSUS,39,041,77560,,,T1,,
0600000US3904181242,3904181242,060,COUNTY-COUSUB,Washington,CENSUS,39,041,81242,,,T5,,
0600000US3904183349,3904183349,060,COUNTY-COUSUB,Westerville City,CENSUS,39,041,83349,,,Z1,,
